Lake,,,,Rating
,,,,Lake
Elevation,Area,Volume,,Houston
(feet,(acres),(acre-feet),,Source
19.42,900.64,4142.06,,
19.43,903.66,4151.08,,
19.44,906.79,4160.14,,
19.45,909.83,4169.22,,
19.46,912.74,4178.33,,
19.47,915.65,4187.47,,
19.48,918.45,4196.64,,
19.49,921.23,4205.84,,
19.5,924,4215.07,,
19.51,926.79,4224.32,,
19.52,929.61,4233.61,,
19.53,932.33,4242.92,,
19.54,935.02,4252.25,,
19.55,937.72,4261.62,,
19.56,940.39,4271.01,,
19.57,943.09,4280.42,,
19.58,945.85,4289.87,,
19.59,948.52,4299.34,,
19.6,951.16,4308.84,,
19.61,953.8,4318.36,,
19.62,956.46,4327.92,,
19.63,959.21,4337.49,,
19.64,961.89,4347.1,,
19.65,964.52,4356.73,,
19.66,967.1,4366.39,,
19.67,969.65,4376.07,,
19.68,972.19,4385.78,,
19.69,974.65,4395.52,,
19.7,977.08,4405.28,,
19.71,979.47,4415.06,,
19.72,981.77,4424.86,,
19.73,984.04,4434.69,,
19.74,986.32,4444.54,,
19.75,988.62,4454.42,,
19.76,990.91,4464.32,,
19.77,993.25,4474.24,,
19.78,995.67,4484.18,,
19.79,998.07,4494.15,,
19.8,1000.49,4504.14,,
19.81,1002.93,4514.16,,
19.82,1005.26,4524.2,,
19.83,1007.57,4534.27,,
19.84,1009.86,4544.35,,
19.85,1012.12,4554.46,,
19.86,1014.34,4564.6,,
19.87,1016.57,4574.75,,
19.88,1018.82,4584.93,,
19.89,1021.07,4595.13,,
19.9,1023.35,4605.35,,
19.91,1025.65,4615.59,,
19.92,1027.91,4625.86,,
19.93,1030.1,4636.15,,
19.94,1032.25,4646.46,,
19.95,1034.38,4656.8,,
19.96,1036.57,4667.15,,
19.97,1038.85,4677.53,,
19.98,1041.12,4687.93,,
19.99,1043.42,4698.35,,
20,1045.76,4708.8,,
20.01,1048.25,4719.27,,
20.02,1050.7,4729.76,,
20.03,1053.13,4740.28,,
20.04,1055.53,4750.82,,
20.05,1058,4761.39,,
20.06,1060.36,4771.98,,
20.07,1062.71,4782.6,,
20.08,1065.01,4793.24,,
20.09,1067.29,4803.9,,
20.1,1069.65,4814.58,,
20.11,1072.1,4825.29,,
20.12,1074.71,4836.03,,
20.13,1077.22,4846.78,,
20.14,1079.8,4857.57,,
20.15,1082.38,4868.38,,
20.16,1084.87,4879.22,,
20.17,1087.37,4890.08,,
20.18,1089.94,4900.97,,
20.19,1092.49,4911.88,,
20.2,1095.02,4922.82,,
20.21,1097.47,4933.78,,
20.22,1099.87,4944.76,,
20.23,1102.31,4955.78,,
20.24,1104.74,4966.81,,
20.25,1107.16,4977.87,,
20.26,1109.47,4988.95,,
20.27,1111.69,5000.06,,
20.28,1113.86,5011.19,,
20.29,1115.98,5022.34,,
20.3,1118.07,5033.51,,
20.31,1120.14,5044.7,,
20.32,1122.19,5055.91,,
20.33,1124.22,5067.14,,
20.34,1126.25,5078.39,,
20.35,1128.28,5089.67,,
20.36,1130.31,5100.96,,
20.37,1132.35,5112.27,,
20.38,1134.37,5123.61,,
20.39,1136.37,5134.96,,
20.4,1138.36,5146.33,,
20.41,1140.35,5157.73,,
20.42,1142.33,5169.14,,
20.43,1144.3,5180.57,,
20.44,1146.26,5192.03,,
20.45,1148.24,5203.5,,
20.46,1150.28,5214.99,,
20.47,1152.33,5226.5,,
20.48,1154.35,5238.04,,
20.49,1156.35,5249.59,,
20.5,1158.34,5261.17,,
20.51,1160.31,5272.76,,
20.52,1162.28,5284.37,,
20.53,1164.27,5296.01,,
20.54,1166.25,5307.66,,
20.55,1168.24,5319.33,,
20.56,1170.24,5331.02,,
20.57,1172.23,5342.73,,
20.58,1174.22,5354.47,,
20.59,1176.19,5366.22,,
20.6,1178.15,5377.99,,
20.61,1180.1,5389.78,,
20.62,1182.07,5401.59,,
20.63,1184.03,5413.42,,
20.64,1185.98,5425.27,,
20.65,1187.93,5437.14,,
20.66,1189.9,5449.03,,
20.67,1191.89,5460.94,,
20.68,1193.9,5472.87,,
20.69,1195.94,5484.82,,
20.7,1198.01,5496.79,,
20.71,1200.13,5508.78,,
20.72,1202.22,5520.79,,
20.73,1204.27,5532.82,,
20.74,1206.31,5544.88,,
20.75,1208.35,5556.95,,
20.76,1210.37,5569.04,,
20.77,1212.38,5581.16,,
20.78,1214.39,5593.29,,
20.79,1216.37,5605.45,,
20.8,1218.37,5617.62,,
20.81,1220.41,5629.81,,
20.82,1222.47,5642.03,,
20.83,1224.51,5654.26,,
20.84,1226.53,5666.52,,
20.85,1228.56,5678.79,,
20.86,1230.6,5691.09,,
20.87,1232.64,5703.4,,
20.88,1234.66,5715.74,,
20.89,1236.68,5728.1,,
20.9,1238.72,5740.47,,
20.91,1240.77,5752.87,,
20.92,1242.85,5765.29,,
20.93,1244.94,5777.73,,
20.94,1247.05,5790.19,,
20.95,1249.1,5802.67,,
20.96,1251.16,5815.17,,
20.97,1253.2,5827.69,,
20.98,1255.27,5840.23,,
20.99,1257.37,5852.8,,
21,1259.54,5865.38,,
21.01,1261.75,5877.99,,
21.02,1263.99,5890.62,,
21.03,1266.24,5903.27,,
21.04,1268.42,5915.94,,
21.05,1270.55,5928.64,,
21.06,1272.66,5941.35,,
21.07,1274.74,5954.09,,
21.08,1276.84,5966.85,,
21.09,1278.92,5979.63,,
21.1,1281.02,5992.43,,
21.11,1283.26,6005.25,,
21.12,1285.51,6018.09,,
21.13,1287.8,6030.96,,
21.14,1290.08,6043.85,,
21.15,1292.32,6056.76,,
21.16,1294.55,6069.69,,
21.17,1296.77,6082.65,,
21.18,1298.99,6095.63,,
21.19,1301.21,6108.63,,
21.2,1303.43,6121.65,,
21.21,1305.63,6134.7,,
21.22,1307.78,6147.76,,
21.23,1309.91,6160.85,,
21.24,1312.04,6173.96,,
21.25,1314.16,6187.09,,
21.26,1316.27,6200.25,,
21.27,1318.39,6213.42,,
21.28,1320.5,6226.62,,
21.29,1322.62,6239.83,,
21.3,1324.75,6253.07,,
21.31,1326.87,6266.33,,
21.32,1328.94,6279.6,,
21.33,1331,6292.9,,
21.34,1333.17,6306.23,,
21.35,1335.38,6319.57,,
21.36,1337.59,6332.93,,
21.37,1339.81,6346.32,,
21.38,1342.04,6359.73,,
21.39,1344.27,6373.16,,
21.4,1346.48,6386.61,,
21.41,1348.68,6400.09,,
21.42,1350.87,6413.59,,
21.43,1353.09,6427.11,,
21.44,1355.32,6440.65,,
21.45,1357.56,6454.21,,
21.46,1359.79,6467.8,,
21.47,1362.07,6481.41,,
21.48,1364.35,6495.04,,
21.49,1366.66,6508.7,,
21.5,1369.08,6522.38,,
21.51,1371.55,6536.08,,
21.52,1373.99,6549.81,,
21.53,1376.73,6563.56,,
21.54,1379.36,6577.34,,
21.55,1381.82,6591.15,,
21.56,1384.49,6604.98,,
21.57,1386.93,6618.83,,
21.58,1389.39,6632.72,,
21.59,1391.85,6646.62,,
21.6,1394.3,6660.55,,
21.61,1396.71,6674.51,,
21.62,1399.02,6688.49,,
21.63,1401.28,6702.49,,
21.64,1403.54,6716.51,,
21.65,1405.82,6730.56,,
21.66,1408.13,6744.63,,
21.67,1410.52,6758.72,,
21.68,1412.84,6772.84,,
21.69,1415.18,6786.98,,
21.7,1417.6,6801.14,,
21.71,1420.13,6815.33,,
21.72,1422.72,6829.55,,
21.73,1425.6,6843.79,,
21.74,1428.74,6858.06,,
21.75,1431.88,6872.36,,
21.76,1435.06,6886.7,,
21.77,1438,6901.06,,
21.78,1440.81,6915.46,,
21.79,1443.53,6929.88,,
21.8,1446.23,6944.33,,
21.81,1449.08,6958.8,,
21.82,1451.85,6973.31,,
21.83,1454.51,6987.84,,
